"Seed","Est","SE","Est.1","SE.1","Est.0","SE.0"
55,-1.58790541055897,2.05403421498636,-7.8244645505046,1.82220965137849,-6.23655913994562,1.41805056968725
56,-1.54872935430086,2.18248944346652,-7.78528849424648,1.92637697051384,-6.23655913994562,1.41805056968725
57,-2.58175000064085,2.12202150644283,-8.81830914058647,1.90063618293083,-6.23655913994562,1.41805056968725
58,-2.14529721962439,1.97905992628594,-8.38185635957001,1.74261086847018,-6.23655913994562,1.41805056968725
59,-2.14611893607461,1.93161473721861,-8.38267807602023,1.68386345614231,-6.23655913994562,1.41805056968725
60,-2.29222647664966,1.85361733783297,-8.52878561659528,1.6518665536025,-6.23655913994562,1.41805056968725
61,-2.96167174328129,2.45160995922069,-9.19823088322691,2.2814999696501,-6.23655913994562,1.41805056968725
62,-1.2398715688537,2.19605912772459,-7.47643070879932,1.98679871046592,-6.23655913994562,1.41805056968725
63,-1.42773522714483,1.90226390081969,-7.66429436709045,1.73582435931418,-6.23655913994562,1.41805056968725
64,-1.68994166070378,2.12009818269955,-7.92650080064941,1.86746577751385,-6.23655913994562,1.41805056968725
65,-1.95878099249636,2.39275227461899,-8.19534013244198,2.12775663916558,-6.23655913994562,1.41805056968725
66,-105.7409328337,38.8604644619897,-111.977491973646,38.8494282268319,-6.23655913994562,1.41805056968725
67,-0.816224291202054,1.99027411379528,-7.05278343114768,1.75350681714823,-6.23655913994562,1.41805056968725
68,-0.520697448354156,2.30908957025976,-6.75725658829978,2.15575528493864,-6.23655913994562,1.41805056968725
69,-7.7712914278531,3.79704196494525,-14.0078505677987,3.67823990061762,-6.23655913994562,1.41805056968725
70,-1.07675615192319,2.12643431197541,-7.31331529186881,1.83299274115592,-6.23655913994562,1.41805056968725
71,-1.94252934551834,1.89585344500503,-8.17908848546396,1.58089108623473,-6.23655913994562,1.41805056968725
72,-0.912294958933378,1.95371290390377,-7.148854098879,1.72890326679717,-6.23655913994562,1.41805056968725
73,-1.57524048174123,2.14013626554497,-7.81179962168685,1.90864260291958,-6.23655913994562,1.41805056968725
74,-1.71426362631489,1.99880853605501,-7.95082276626051,1.77311382879308,-6.23655913994562,1.41805056968725
75,-2.46374972520786,2.00843988269055,-8.70030886515348,1.82814720133535,-6.23655913994562,1.41805056968725
76,-1.57507840041655,1.86051397870478,-7.81163754036217,1.62087403707088,-6.23655913994562,1.41805056968725
77,-4.45393994116084,2.21193097330239,-10.6904990811065,1.97705202347305,-6.23655913994562,1.41805056968725
78,-0.312075624518757,2.45487483955918,-6.54863476446438,2.18447100061716,-6.23655913994562,1.41805056968725
79,-2.19190456680868,2.33855088222105,-8.4284637067543,2.12723047454405,-6.23655913994562,1.41805056968725
80,-1.28248184183439,2.00295160173399,-7.51904098178001,1.73528916609301,-6.23655913994562,1.41805056968725
81,-1.24294618054545,1.9739613787849,-7.47950532049107,1.73816584758107,-6.23655913994562,1.41805056968725
82,0.00148762818424681,2.34068876899044,-6.23507151176138,2.12014203289937,-6.23655913994562,1.41805056968725
83,-2.39020073996747,1.9962027834285,-8.62675987991309,1.72024385553803,-6.23655913994562,1.41805056968725
84,-2.42558601148217,1.95275823015399,-8.66214515142779,1.64299462182933,-6.23655913994562,1.41805056968725
85,-2.6428532059929,1.95657781175074,-8.87941234593853,1.69356087949581,-6.23655913994562,1.41805056968725
86,-3.08115354557837,2.06413091132477,-9.31771268552399,1.85759086616971,-6.23655913994562,1.41805056968725
87,-1.08407280811996,1.9796680027444,-7.32063194806558,1.68152614443155,-6.23655913994562,1.41805056968725
88,0.652003092670613,2.60924208210456,-5.58455604727501,2.47570669022851,-6.23655913994562,1.41805056968725
89,-1.95226966058203,1.90746175282026,-8.18882880052765,1.63833802284196,-6.23655913994562,1.41805056968725
90,2.79683623424061,2.87972635346758,-3.43972290570501,2.70698884122319,-6.23655913994562,1.41805056968725
91,0.00221044355963102,2.24898249890592,-6.23434869638599,2.11263099654313,-6.23655913994562,1.41805056968725
92,-2.54850482632659,2.06974441661184,-8.78506396627222,1.85223752965928,-6.23655913994562,1.41805056968725
93,-1.31916055010803,2.00392306753177,-7.55571969005365,1.74236751454767,-6.23655913994562,1.41805056968725
94,-2.22670594184959,2.156774726978,-8.46326508179521,1.92318944189661,-6.23655913994562,1.41805056968725
95,0.0312178605851003,2.09757172559093,-6.20534127936052,1.90208265305739,-6.23655913994562,1.41805056968725
96,-3.45033482288149,2.14939790025812,-9.68689396282711,1.87192516660367,-6.23655913994562,1.41805056968725
97,-3.34272994071606,2.04279018173676,-9.57928908066168,1.8120391870575,-6.23655913994562,1.41805056968725
98,-1.79745317045727,1.79425949245361,-8.03401231040289,1.57105995736512,-6.23655913994562,1.41805056968725
99,-2.00085621279004,1.91808804066072,-8.23741535273566,1.63854179286964,-6.23655913994562,1.41805056968725
100,-5.48632796944015,3.77506307640188,-11.7228871093858,3.65861114135079,-6.23655913994562,1.41805056968725
